0	1	4	31	温州市	120.7	28.0
2	1	7	32	哈尔滨市	126.53	45.8
5	1	8	32	成都市	104.07	30.67
8	1	22	31	哈尔滨市	126.53	45.8
10	1	32	32	西安市	108.93	34.27
11	1	34	31	泸州市	105.43	28.87
12	1	35	31	宝鸡市	107.13	34.37
16	1	36	31	成都市	104.07	30.67
17	1	38	31	深圳市	114.05	22.55
19	1	44	31	杭州市	120.15	30.28
20	1	44	31	杭州市	120.15	30.28
21	1	46	31	成都市	104.07	30.67
24	1	51	31	武汉市	114.3	30.6
31	1	65	31	成都市	104.07	30.67
33	1	67	31	温州市	120.7	28.0
34	1	68	31	西安市	108.93	34.27
38	1	81	31	成都市	104.07	30.67
39	1	85	31	银川市	106.28	38.47
40	1	86	31	济南市	116.98	36.67
41	1	86	31	九江市	116.0	29.7
42	1	90	31	宜昌市	111.28	30.7
48	1	92	32	郑州市	113.62	34.75
49	1	92	31	南充市	106.08	30.78
51	1	93	32	贵阳市	106.63	26.65
53	1	93	32	深圳市	114.05	22.55
54	1	93	31	双鸭山市	131.15	46.63
57	1	94	31	松原市	124.82	45.13
58	1	94	32	九江市	116.0	29.7
59	1	95	32	西安市	108.93	34.27
60	1	95	32	福州市	119.3	26.08
61	1	95	31	成都市	104.07	30.67
62	1	95	32	哈尔滨市	126.53	45.8
68	1	99	31	呼和浩特市	111.73	40.83
69	1	99	31	济南市	116.98	36.67
71	1	99	31	昆明市	102.72	25.05
72	1	100	31	兰州市	103.82	36.07
74	1	100	32	柳州市	109.42	24.33
76	1	101	31	成都市	104.07	30.67
79	1	102	32	鞍山市	122.98	41.1
80	1	102	31	大连市	121.62	38.92
81	1	102	31	郑州市	113.62	34.75
84	1	103	31	成都市	104.07	30.67
85	1	103	31	辽阳市	123.17	41.27
87	1	103	31	杭州市	120.15	30.28
88	1	104	31	衢州市	118.87	28.93
91	1	104	31	南京市	118.78	32.07
100	1	105	33	武汉市	114.3	30.6
101	1	105	31	湘潭市	112.93	27.83
107	1	106	32	济南市	116.98	36.67
108	1	106	31	兰州市	103.82	36.07
109	1	106	32	石家庄市	114.52	38.05
110	1	106	32	厦门市	118.08	24.48
111	1	106	31	东莞市	113.75	23.05
114	1	106	32	青岛市	120.38	36.07
115	1	106	32	朔州市	112.43	39.33
117	1	106	31	广州市	113.27	23.13
119	1	108	31	大连市	121.62	38.92
121	1	109	32	南京市	118.78	32.07
123	1	109	32	长春市	125.32	43.9
126	1	109	31	广州市	113.27	23.13
131	1	110	31	大连市	121.62	38.92
132	1	110	31	东莞市	113.75	23.05
133	1	110	31	石家庄市	114.52	38.05
134	1	110	31	深圳市	114.05	22.55
135	1	111	34	东莞市	113.75	23.05
136	1	111	32	厦门市	118.08	24.48
137	1	112	31	珠海市	113.57	22.27
138	1	112	38	东莞市	113.75	23.05
143	1	112	31	铜陵市	117.82	30.93
144	1	112	31	福州市	119.3	26.08
147	1	112	32	厦门市	118.08	24.48
148	1	113	32	大连市	121.62	38.92
151	1	113	32	信阳市	114.07	32.13
154	1	113	31	兰州市	103.82	36.07
155	1	113	39	厦门市	118.08	24.48
157	1	114	33	厦门市	118.08	24.48
158	1	114	34	厦门市	118.08	24.48
163	1	114	33	成都市	104.07	30.67
164	1	114	32	厦门市	118.08	24.48
165	1	114	33	厦门市	118.08	24.48
167	1	114	31	厦门市	118.08	24.48
171	1	114	31	吉林市	126.55	43.83
176	1	114	32	厦门市	118.08	24.48
177	1	114	31	吉林市	126.55	43.83
180	1	114	32	济南市	116.98	36.67
181	1	114	34	杭州市	120.15	30.28
